path,annotation
/mnt/d/IMDA_TIL/audio_part3/3000-1284.wav,PPO SO WOULD YOU LIKE TO MAKE A GUESS OUT OF THE SIX NEEDS WHICH TWO OR THREE
/mnt/d/IMDA_TIL/audio_part3/3000-1285.wav,WOULD YOU LIKE TO MAKE A GUESS WHICH TOP TWO OR THREE
/mnt/d/IMDA_TIL/audio_part3/3000-1290.wav,FOR THOSE WHO TEND TO BE A LITTLE BIT MORE
/mnt/d/IMDA_TIL/audio_part3/3000-1308.wav,YA SO I THINK ITS A REALLY GOOD ITS OKAY ITS DONE PPL
/mnt/d/IMDA_TIL/audio_part3/3000-134.wav,SAY WHAT ABOUT SEVENTH MONTH WHAT THE WHAT BELIEF
/mnt/d/IMDA_TIL/audio_part3/3000-146.wav,NO OKAY SO YOU HAVE MENTIONED DIFFERENCE SO LETS TALK ABOUT SIMILARITY NOW
/mnt/d/IMDA_TIL/audio_part3/3000-147.wav,NO NO SO YOUVE MENTIONED THE DIFFERENCE ONE BIGGEST DIFFERENCE SO I WOULD LIKE TO KNOW WHATS THE ONE BIGGEST
/mnt/d/IMDA_TIL/audio_part3/3000-153.wav,WHATS THE ONE THING ABOUT SINGAPORE THAT SHOULD BE PRESERVED FOR THE NEXT GENERATION
/mnt/d/IMDA_TIL/audio_part3/3000-160.wav,MALAYTIKAMMALAY MALAYTIKAMMALAY HOW DO YOU CHOOSE FOUR D OR TOTO NUMBERS
/mnt/d/IMDA_TIL/audio_part3/3000-161.wav,UM I MEAN I WAS IN THE POLICE FORCE LAH SO THEN OBVIOUSLY IS WHEN ATTENDING TO THOSE SUICIDAL CASES
/mnt/d/IMDA_TIL/audio_part3/3000-164.wav,WAS ACTUALLY WHEN I ATTENDED UM
/mnt/d/IMDA_TIL/audio_part3/3000-166.wav,BUT THERE WAS ONE CASE IN PARTICULAR
/mnt/d/IMDA_TIL/audio_part3/3000-167.wav,IT WAS A YOUNG CHILD PROBABLY SECONDARY TWO
/mnt/d/IMDA_TIL/audio_part3/3000-168.wav,SO ITS LIKE WHAT THIRTEEN FOURTEEN FOURTEEN YEAR OLD
/mnt/d/IMDA_TIL/audio_part3/3000-169.wav,NO NO NO SO I WENT I ATTENDED THE CASE
/mnt/d/IMDA_TIL/audio_part3/3000-170.wav,WHERE IT WAS A UNK YEAH WHERE IT WAS A SECONDARY TWO KID WHO
/mnt/d/IMDA_TIL/audio_part3/3000-18.wav,USE OUR LEGS OR WHATEVER TO TRY AND GET EACH OTHER OFF THEN THE THE LOSER OBVIOUSLY IS THE ONE THAT FALLS OFF FIRST
/mnt/d/IMDA_TIL/audio_part3/3000-192.wav,MOST BUSYBODY THING I HAVE EVER DONE
/mnt/d/IMDA_TIL/audio_part3/3000-2112.wav,THIS SELF MADE MILLIONAIRE THAT
/mnt/d/IMDA_TIL/audio_part3/3000-212.wav,YES SO BASICALLY FOR SEVENTH MONTH WE WILL BE LOOKING AT
/mnt/d/IMDA_TIL/audio_part3/3000-2124.wav,YES GET YOUR FINANCIALS DONE RIGHT
/mnt/d/IMDA_TIL/audio_part3/3000-2125.wav,BUY ONE GET ONE FREE WHATS THE BEST LOBANG YOUVE EVER RECEIVED OR SHARE THIS
/mnt/d/IMDA_TIL/audio_part3/3000-2127.wav,I FEEL LIKE IF THIS ISNT DONE RIGHT AT THE START RIGHT WHEN THEY ARE YOUNG
/mnt/d/IMDA_TIL/audio_part3/3000-2142.wav,WHO REALLY NEED THE MONEY RIGHT YEAH
/mnt/d/IMDA_TIL/audio_part3/3000-2144.wav,SHES A WONDERFUL LADY SHES IN HER SEVENTIES CONTRIBUTED TO SOCIETY SHES TO BE A TEACHER
/mnt/d/IMDA_TIL/audio_part3/3000-2154.wav,DEFINITELY I WISH SOMETHING CAN BE DONE LAH I MEAN WHAT I CAN DO AS A PERSON WITH
/mnt/d/IMDA_TIL/audio_part3/3000-2158.wav,SG HUNDRED DESCRIBE IN SINGAPORE DREAM
/mnt/d/IMDA_TIL/audio_part3/3000-2160.wav,S G HUNDRED MAN SO WE ARE TALKING ABOUT S G AT
/mnt/d/IMDA_TIL/audio_part3/3000-2161.wav,YEAR HUNDRED WHAT DO YOU SEE
/mnt/d/IMDA_TIL/audio_part3/3000-2207.wav,TO BE ABLE TO FULLFILL ONES NEEDS DESIRES AND GOALS THATS FULFILMENT TO ALWAYS
/mnt/d/IMDA_TIL/audio_part3/3000-2233.wav,ANYTHING ANYONE OF US
/mnt/d/IMDA_TIL/audio_part3/3000-2237.wav,UM MAY NONE HAPPY STATE OF MIND
/mnt/d/IMDA_TIL/audio_part3/3000-2243.wav,WAS SIX YEARS SO WHOS THE BETTER COOK YOUR MOM
/mnt/d/IMDA_TIL/audio_part3/3000-23.wav,HMM NO IVE GOTTEN RID OF IT LIKE
/mnt/d/IMDA_TIL/audio_part3/3000-230.wav,OKAY THATS A THREE MARKS OKAY LETS GO KALLANG WAVE SINGAPORE WILL WIN THE WORLD CUP IN
/mnt/d/IMDA_TIL/audio_part3/3000-232.wav,K ONE TIMES JIALAT JIALAT DESCRIBE YOUR MOST MEMORABLE AND NS OR RESERVICE EXPERIENCE
/mnt/d/IMDA_TIL/audio_part3/3000-234.wav,MEMORABLE IS VERY ONE TIMES JIALAT JIALAT LAH SO PPL
/mnt/d/IMDA_TIL/audio_part3/3000-237.wav,TWO IN THE MORNING STARTED CRAWLING AROUND CAUSE
/mnt/d/IMDA_TIL/audio_part3/3000-243.wav,PRECISELY SO DO YOU FREQUENT FREQUENT THERE OFTEN
/mnt/d/IMDA_TIL/audio_part3/3000-253.wav,SO WHATS THE MOST BUSYBODY THING YOUVE EVER DONE
/mnt/d/IMDA_TIL/audio_part3/3000-27.wav,AH THE ONE THAT IS SLIGHTLY SALTED RIGHT YES
/mnt/d/IMDA_TIL/audio_part3/3000-293.wav,IF THIS ACTUALLY THERES SO MUCH POTENTIAL FOR GROWTH
/mnt/d/IMDA_TIL/audio_part3/3000-296.wav,YA PRECISELY DONT DONT EVEN NEED TO BRING THEIR WALLETS OUT EVERYTHING IS DONE THROUGH MOBILE WHICH BRINGS UM
/mnt/d/IMDA_TIL/audio_part3/3000-298.wav,OKAY KING OF FRUITS WHATS THE MOST NUMBER OF DURIANS YOU HAVE EVER EATEN AT ONE GO DO YOU EVEN EAT DURIANS
/mnt/d/IMDA_TIL/audio_part3/3000-299.wav,I TRY TO EAT LESSER LAH DEFINITELY I WANT I WANT TO STAY IN SHAPE ONE
/mnt/d/IMDA_TIL/audio_part3/3011-1103.wav,THREE SIX NINE FIVE FOUR SIX I THINK IS VERY NEAR
/mnt/d/IMDA_TIL/audio_part3/3011-1104.wav,THREE SIX NINE FIVE FOUR SIX
/mnt/d/IMDA_TIL/audio_part3/3011-111.wav,MY HALL WHICH IS THE HALL OF RESIDENCE SIXTEEN
/mnt/d/IMDA_TIL/audio_part3/3011-1112.wav,CAN YOU PLEASE TELL ME OF LIKE A SAMPLE OF THE EMAIL THAT YOU HAVE WRITTEN
/mnt/d/IMDA_TIL/audio_part3/3011-1136.wav,YES THATS UM ONE OF MY DREAMS
/mnt/d/IMDA_TIL/audio_part3/3011-115.wav,WHEN I FIRST JOINED I MET SOMEONE CALLED JARED
/mnt/d/IMDA_TIL/audio_part3/3011-1155.wav,THEN SHE SAID OH AT MOST ONE HOUR THEN I AT AT AT
/mnt/d/IMDA_TIL/audio_part3/3011-1156.wav,THE SHORTEST TIME THAT I HAVE TO PREPARE WAS ONE HOUR THEN I SAID OH OKAY
/mnt/d/IMDA_TIL/audio_part3/3011-1164.wav,BUT I GUESS THATWAS THE TWO STUPID QUESTIONS I ASK
/mnt/d/IMDA_TIL/audio_part3/3011-1167.wav,SO IM JOBLESS NOW BECAUSE OF TWO STUPID QUESTIONS I ASK
/mnt/d/IMDA_TIL/audio_part3/3011-1170.wav,PPB THREE POINT SIX THOUSANDS
/mnt/d/IMDA_TIL/audio_part3/3011-1181.wav,YOURE GRAMMATICALLY INCOMPETENT
/mnt/d/IMDA_TIL/audio_part3/3011-1191.wav,THAT MEANS PPB SOMEONE PAYS YOU TO MAKE A BABY FOR THEM IN YOUR WOMB PPB
/mnt/d/IMDA_TIL/audio_part3/3011-1230.wav,WOW HE HAS TWO HUNDRED AND THIRTY TWO LIKES FOR HIS PHOTO
/mnt/d/IMDA_TIL/audio_part3/3011-1231.wav,ONE THOUSAND ONE HUNDRED AND THREE NO WAIT
/mnt/d/IMDA_TIL/audio_part3/3011-1232.wav,HAS EIGHT HUNDRED AND NINETY SIX FOLLOWERS
/mnt/d/IMDA_TIL/audio_part3/3011-1234.wav,TWENTY FIVE PERCENT OF PEOPLE LIKE HIS PHOTO
/mnt/d/IMDA_TIL/audio_part3/3011-1235.wav,OKAY LETS GO AND CHECK SOMEONE ELSES WHO HAS THAT MUCH FOLLOWING
/mnt/d/IMDA_TIL/audio_part3/3011-1236.wav,OKAY I AM GOING TO FIND AN EXAMPLE OF SOMEONE ELSE
/mnt/d/IMDA_TIL/audio_part3/3011-1238.wav,I HAVE FIVE HUNDRED AND TWENTY TWO FOLLOWERS AND I HAVE A SIXTEEN PPL LIKE
/mnt/d/IMDA_TIL/audio_part3/3011-1244.wav,OKAY THIS ONE THIS ONE THIS ONE IS MY SOLO SHOT
/mnt/d/IMDA_TIL/audio_part3/3011-1252.wav,OKAY WHAT ABOUT THE ONE WITH MY FACE RIGHT WHERE I USED A MAKEUP APP PPL
/mnt/d/IMDA_TIL/audio_part3/3011-1256.wav,I TOOK PHOTO OF YOU YOU ARE IN MY ONE ONE OF MY PHOTOS THERE
/mnt/d/IMDA_TIL/audio_part3/3011-1263.wav,EIGHTEEN I WAS EIGHTEEN BUT I DIDNT POST IT WHEN I WAS EIGHTEEN I POSTED IT
/mnt/d/IMDA_TIL/audio_part3/3011-1270.wav,I WAS OKAY SORT OF WHEN I WAS IN TWO THOUSAND AND NINE
/mnt/d/IMDA_TIL/audio_part3/3011-1278.wav,TEN THIRTY PM WHAT KIND OF CLASS IS THAT NO I BET THATS HER WORK
/mnt/d/IMDA_TIL/audio_part3/3011-1288.wav,NO SOMEONE ELSE SHOULD ASK FOR ME THEN IT PEOPLE WILL SHOW THAT PEOPLE SUPPORT ME PEO IT WILL SHOW THAT PEOPLE SUPPORT ME
/mnt/d/IMDA_TIL/audio_part3/3011-129.wav,SO I CAN COME AT SEVEN
/mnt/d/IMDA_TIL/audio_part3/3011-1292.wav,IHG IS A NERVOUS PERIOD FOR EVERYONE
/mnt/d/IMDA_TIL/audio_part3/3011-1293.wav,I AM I AM NOT I HAVE NOT WON THE CHAMPIONSHIPS BEFORE IN MY FOUR YEARS
/mnt/d/IMDA_TIL/audio_part3/3011-1297.wav,DO YOU KNOW WHAT I THINK THEY SHOULDNT PUT US TOGETHER THEY SHOULD LET ME AND YOU KNOW JUST NOW GOT ANOTHER TWO PEOPLE COME IN RIGHT
/mnt/d/IMDA_TIL/audio_part3/3011-1298.wav,THEY SHOULD MATCH THE TWO STRANGERS TOGETHER SO WE GOT MORE THINGS TO TALK ABOUT WELL BE VERY INTERESTED IN EACH OTHER WE LIKE
/mnt/d/IMDA_TIL/audio_part3/3011-1308.wav,OH THIS ONE NO BONE OH YOU WANT EAT THIS
/mnt/d/IMDA_TIL/audio_part3/3011-1309.wav,OHMYGOD THIS ONE LOOKS NICE CAN WE GO EAT HERE INSTEAD
/mnt/d/IMDA_TIL/audio_part3/3011-1310.wav,FIVE THREE THREE SIX EIGHT TWO TWO O THREE SIX EIGHT TWO TWO O
/mnt/d/IMDA_TIL/audio_part3/3011-1330.wav,THIS ONE ITS A UP AND COMING TOURIST DESTINATION IN THAILAND
/mnt/d/IMDA_TIL/audio_part3/3011-1344.wav,I THOUGHT IT WAS AN IMPORTANT MILESTONE THAT HE WOULD LIKE TO CELEBRATE WITH ME
/mnt/d/IMDA_TIL/audio_part3/3011-1345.wav,WHY YOU NEVER GO FOR GERALDS ONE PPB
/mnt/d/IMDA_TIL/audio_part3/3011-1354.wav,HOW MUST I UNK IT STARTS AT SEVEN PM
/mnt/d/IMDA_TIL/audio_part3/3011-1366.wav,EXCUSE ME HES VERY SMART OKAY HE GOT TWO SEVEN FIVE FOR PSLE
/mnt/d/IMDA_TIL/audio_part3/3011-1370.wav,OKAY NOW THERES TWO TANGLES PPB LOOK
/mnt/d/IMDA_TIL/audio_part3/3011-1387.wav,I REMEMBER I HEARD YOU RAP ONE TIME IT WAS VERY BAD
/mnt/d/IMDA_TIL/audio_part3/3011-1389.wav,THANK YOU VERY MUCH FOR YOUR KIND ATTENTION
/mnt/d/IMDA_TIL/audio_part3/3011-1391.wav,EXCUSE ME ITS ALL ABOUT THE MONEY PPB
/mnt/d/IMDA_TIL/audio_part3/3011-1411.wav,LOOK WE ARE TALKING SO MUCH NOW WE ARE TALKING FOR FIFTY NINE MINUTES AND NINE SECONDS
/mnt/d/IMDA_TIL/audio_part3/3011-1415.wav,CAN YOU PLEASE OBEY ME PLEASE PLEASE PLEASE LISTEN TO ME
/mnt/d/IMDA_TIL/audio_part3/3011-1425.wav,HE WANTS ME TO HAVE FIVE KIDS WITH HIM
/mnt/d/IMDA_TIL/audio_part3/3011-1426.wav,LOOK HE REALLY WANT ME TO HAVE FIVE KIDS
/mnt/d/IMDA_TIL/audio_part3/3011-1427.wav,AND HE WANTS TO HAVE FOUR GIRLS AND ONE BOY
/mnt/d/IMDA_TIL/audio_part3/3011-1437.wav,OKAY ITS ABOUT ITS A SERIES OF SHORT STORIES ABOUT MODERN LONELINESS
/mnt/d/IMDA_TIL/audio_part3/3011-1448.wav,HE BECAME VERY ALONE AND BUT HE STILL CONTINUE WITH HIS ACTING SO HE HIRED A GIRL
/mnt/d/IMDA_TIL/audio_part3/3011-1465.wav,BUT UH AND HE KNEW ONE OF THE
/mnt/d/IMDA_TIL/audio_part3/3011-1473.wav,THIS ONE OKAY THIS ONE I HAVENT FINISH READING YET
/mnt/d/IMDA_TIL/audio_part3/3011-1474.wav,BUT ANOTHER ONE THAT I READ WAS QUITE MEANINGFUL ITS ABOUT THIS
/mnt/d/IMDA_TIL/audio_part3/3011-1479.wav,CAN I TELL YOU ABOUT THIS NOT ITS A VERY SAD STORY CAN YOU LISTEN
/mnt/d/IMDA_TIL/audio_part3/3011-1499.wav,AND THE STORY ENDED THEM BEING SINGLE SO NONE OF THEM GOT MARRIED
/mnt/d/IMDA_TIL/audio_part3/3011-150.wav,NTU SINGAPORE SCRABBLE CHAMPIONSHIPS THAT IS GOING TO BE HELD ON THE TWENTY SECOND OF SEPTEMBER
/mnt/d/IMDA_TIL/audio_part3/3011-1513.wav,HOW DO YOU THINK ABOUT LOVE IF YOU LOVE SOMEONE YOU DONT WANT TO BE WITH THEM WHAT KIND OF RUBBISH IS THAT RIGHT ITS LIKE SAYING
/mnt/d/IMDA_TIL/audio_part3/3011-1518.wav,ITS NOT IF YOU LOVE SOMEONE YOU WANT TO SEE THEM EVERYDAY OKAY
/mnt/d/IMDA_TIL/audio_part3/3011-1531.wav,YEAH I DONT KNOW WHY HE WOULD DO THAT HE JUST WANTS ME TO BE ALONE
/mnt/d/IMDA_TIL/audio_part3/3011-154.wav,BUT ILL BE ALL ALONE I DONT HAVE A TEAM
/mnt/d/IMDA_TIL/audio_part3/3011-1548.wav,JOHNNY CHINESE FIVE PPB
/mnt/d/IMDA_TIL/audio_part3/3011-1551.wav,YOU HAVE LIVED WITH HIM FOR TWENTY
/mnt/d/IMDA_TIL/audio_part3/3011-1564.wav,THATS QUITE A LOT I CAN ONLY DO ONE POINT TWO KILOMETERS
/mnt/d/IMDA_TIL/audio_part3/3011-1588.wav,WOW THATS SO COOL SIX REC GAMES PEOPLE
/mnt/d/IMDA_TIL/audio_part3/3011-1590.wav,HE I DONT THINK HE IS YEAR FIVE YOU SEE AH WHEN I WAS YEAR ONE HE WAS THERE ALREADY RIGHT
/mnt/d/IMDA_TIL/audio_part3/3011-1597.wav,CBD WHY DO I WANT TO GO I FEEL VERY UNDER DRESSED THERE EVERYONE DRESS SO WELL
/mnt/d/IMDA_TIL/audio_part3/3011-16.wav,UH IS BOTH A PRIMARY SCHOOL AND A SECONDARY SCHOOL SO YOU CAN SPEND TEN YEARS OF YOUR LIFE THERE
/mnt/d/IMDA_TIL/audio_part3/3011-1605.wav,I GIVE YOU AH HALL SIXTEEN SHIRT YOU WANT
/mnt/d/IMDA_TIL/audio_part3/3011-1614.wav,GOT LIKE THIS TWO THOUSAND AND SIXTEEN POST WHERE LIKE PEOPLE ARE TAKING PHOTO WITH YOU IN A HOTEL IN SENTOSA THAT UNK
/mnt/d/IMDA_TIL/audio_part3/3011-1620.wav,NO I PPB THATS NOT WHAT I MEANT PPB I MEANT TO SAY THAT PPB UM PPO SO WHEN YOURE TWENTY ONE YOU CELEBRATE YOUR BIRTHDAY LIKE THAT
/mnt/d/IMDA_TIL/audio_part3/3011-1621.wav,I WAS TWENTY I WAS NINETEEN
/mnt/d/IMDA_TIL/audio_part3/3011-1623.wav,OKAY MAYBE LIKE IN THIRTY FIRST JANUARY
/mnt/d/IMDA_TIL/audio_part3/3011-1628.wav,YOU ARE GOING TO FIND ME A JOB RIGHT YOU SAID AND ILL GIVE YOU ONE PERCENT OF MY SALARY
/mnt/d/IMDA_TIL/audio_part3/3011-1636.wav,OH MY GOD EVERYONE IN RUSSIA IS RUSHING PPB
/mnt/d/IMDA_TIL/audio_part3/3011-1651.wav,ONE TIME YOU KNOW MY DREAM WAS VERY SCARY I WAS IN THE TOILET
/mnt/d/IMDA_TIL/audio_part3/3011-1656.wav,BUT MY INTONATION IS JUST LIKE THAT I LIKE TO SPEAK IN A SINGING TONE
/mnt/d/IMDA_TIL/audio_part3/3011-1664.wav,WHY YOU SO CHEAPSKATE JUST TEN DOLLARS YOU DONT LIVE WITHOUT THE SHIRT LAH
/mnt/d/IMDA_TIL/audio_part3/3011-1677.wav,YES I HAVE BEEN DONATING A LOT OF MY MONEY
/mnt/d/IMDA_TIL/audio_part3/3011-1680.wav,SHE HAD TWO MARRIAGES THE FIRST MARRIAGE SHE HAD THREE KIDS
/mnt/d/IMDA_TIL/audio_part3/3011-1681.wav,THEY WERE THEY ARE IN A ORPHANAGE THEN ANOTHER THREE KIDS SHE TAKE CARE OF THEM
/mnt/d/IMDA_TIL/audio_part3/3011-1685.wav,MONEY BUT SHES A BIT FRIVOLOUS SHE ONLY CARES ABOUT
/mnt/d/IMDA_TIL/audio_part3/3011-1692.wav,WHEN YOU SMOKE WHEN YOU GOT BABY GOT SOME PROBLEMS ONE LAH
/mnt/d/IMDA_TIL/audio_part3/3011-1696.wav,THATS TERRIBLE OHMYGOD WE HAVE TO REGULATE OUR YOU KNOW HOW IMPOSSIBLE IT IS TO TALK FOR TWO HOURS ITS VERY DIFFICULT OKAY
/mnt/d/IMDA_TIL/audio_part3/3011-1698.wav,TO FINISH OUR CONVERSATION THANK YOU THANK YOU FOR LISTENING
/mnt/d/IMDA_TIL/audio_part3/3011-177.wav,ITS VERY FAST YOU KNOW HOW MUCH WAS ONE PLATE OF NASILEMAK
/mnt/d/IMDA_TIL/audio_part3/3011-178.wav,NINE DOLLARS AND NINETY CENTS
/mnt/d/IMDA_TIL/audio_part3/3011-196.wav,OKAY YOU JUST WRITE TAISENG CAFE AND THEN I GOT ONE THIS ONE IS CALLED
/mnt/d/IMDA_TIL/audio_part3/3011-2102.wav,SO THEY WILL GIVE YOU LIKE A SITUATION ABOUT SOME LIKE BUSINESS STUFF SO THERE WAS ONE
/mnt/d/IMDA_TIL/audio_part3/3011-2108.wav,NO NOW ITS STILL IN THE PRACTICE STAGE BUT THERE WILL BE A GRADED TEST TWENTY PERCENT
/mnt/d/IMDA_TIL/audio_part3/3011-2114.wav,ITS USUALLY TO TARGETED AT A GROUP OF PEOPLE NOT JUST ONE PERSON
/mnt/d/IMDA_TIL/audio_part3/3011-2118.wav,TWO STYLES THERE IS A DIRECT STYLE AND A INDIRECT STYLE
/mnt/d/IMDA_TIL/audio_part3/3011-2122.wav,EH BUT THEN YOU NEVER SAY THAT TO SOMEONE WHEN YOU ARE FIRING THEM UNLESS YOU REALLY HATE THEM
/mnt/d/IMDA_TIL/audio_part3/3011-2128.wav,BUT WHEN ITS WRITTEN IN A NEUTRAL TONE
/mnt/d/IMDA_TIL/audio_part3/3011-2147.wav,IF YOU FELT YOUR INTERVIEW WENT WELL YOU SHOULD JUST ASK ONE OR TWO
/mnt/d/IMDA_TIL/audio_part3/3011-2149.wav,STOP SAYING YOURE STUPID ITS A PESSIMISTIC STATEMENT AND ITS NOT ALLOWED WITHIN THESE FOUR WALLS
/mnt/d/IMDA_TIL/audio_part3/3011-2150.wav,EIGHTY PERCENT OF THE THINGS YOU SAY IS PESSIMISTIC AND I AM GOING TO MAKE IT A POINT TO MAKE THAT
/mnt/d/IMDA_TIL/audio_part3/3011-2155.wav,PPO THREE POINT SIX THOUSAND A DAY A WEEK
/mnt/d/IMDA_TIL/audio_part3/3011-2168.wav,HOW HOW ABOUT YOU WORK FOR HALL OF RESIDENCE SIXTEEN
/mnt/d/IMDA_TIL/audio_part3/3011-218.wav,NO WE RARE WE DONT MEET TO EAT WE MEET AT NIGHT TO PLAY LIKE AT NIGHT AS IN LIKE TEN PLUS
/mnt/d/IMDA_TIL/audio_part3/3011-2182.wav,THE ONE WITH RACHELS OTHER SISTER
/mnt/d/IMDA_TIL/audio_part3/3011-2185.wav,AND GOAL TO MAKE EVERYONE WATCH THAT
/mnt/d/IMDA_TIL/audio_part3/3011-2189.wav,NO I SHOULD SEND IT ON THE GROUP AND MAKE EVERYONE WATCH IT PPL
/mnt/d/IMDA_TIL/audio_part3/3011-2199.wav,AND WHAT WHAT WHAT WAS THAT SENTENCE OF
/mnt/d/IMDA_TIL/audio_part3/3011-2206.wav,NO YOU CAN CALCULATE PERCENTAGE FOR ANYONE
/mnt/d/IMDA_TIL/audio_part3/3011-2208.wav,BUT MY LAST PHOTO WAS TWO YEARS AGO SO ITS NOT ACCURATE
/mnt/d/IMDA_TIL/audio_part3/3011-2211.wav,NINETY NINE I CAN GET MORE THAN THAT AND ILL ONLY HAVE LIKE MAYBE HAVE FIVE HUNDRED FOLLOWERS
/mnt/d/IMDA_TIL/audio_part3/3011-2214.wav,HELLO CAN YOU LIKE IT YOURSELF THEN YOU GET ONE MORE LIKE
/mnt/d/IMDA_TIL/audio_part3/3011-2219.wav,THIS IS TWENTY SIXTEEN HOW COME I AM NOT TAGGED IN THIS PHOTO YOURE SO MEAN
/mnt/d/IMDA_TIL/audio_part3/3011-2220.wav,BUT YOU GOT FORTY FIVE LIKES OUT OF NOTHING OKAY NOT BAD
/mnt/d/IMDA_TIL/audio_part3/3011-2223.wav,OKAY OTHER THAN THAT WHICH ONE IS THE DEAF ONE THIS ONE
/mnt/d/IMDA_TIL/audio_part3/3011-2224.wav,EH GAIA BLACK I KNOW WHO IS THAT OH THIS ONE THIS
/mnt/d/IMDA_TIL/audio_part3/3011-2225.wav,IS IT YEAH THIS ONE WILL HAVE THE MOST LIKES I TOLD YOU
/mnt/d/IMDA_TIL/audio_part3/3011-2230.wav,YA BUT SEE ONE TWO FOUR IT PROVED ITSELF
/mnt/d/IMDA_TIL/audio_part3/3011-2234.wav,NO BUT LAST TIME OKAY THIS ONE THIS ONE MIGHT HAVE SOME
/mnt/d/IMDA_TIL/audio_part3/3011-2240.wav,EH WHY YOU GET SEVENTY FOR THIS I THINK THEY THOUGHT YOU WERE A COUPLE
/mnt/d/IMDA_TIL/audio_part3/3011-2243.wav,SO PPL THEN JACK WAS IN ONE OF MY GROUP
/mnt/d/IMDA_TIL/audio_part3/3011-2251.wav,AND YOU GOT TWO AND ONE IS BY
/mnt/d/IMDA_TIL/audio_part3/3011-2257.wav,IS HE THE ONE WHO PUT YOU INTO CHURCH
/mnt/d/IMDA_TIL/audio_part3/3011-2258.wav,WHICH CHURCH IS THIS OH THE TAMPINES ONE
/mnt/d/IMDA_TIL/audio_part3/3011-2269.wav,IT ENDS AT TEN THIRTY AT ONE OF THE DAYS
/mnt/d/IMDA_TIL/audio_part3/3011-2274.wav,PPL BUT YEAH LAH THEY ARE THE MORE FREE ONE XINGYI ALSO VERY FREE
/mnt/d/IMDA_TIL/audio_part3/3011-2315.wav,YOU CAN TALK TO THEM FOR MAYBE TEN MINUTES AND THEN YOU KNOW ABOUT THAT ALL THE
/mnt/d/IMDA_TIL/audio_part3/3011-2329.wav,PPO THATS WHY I DONT LIKE TO USE THIS WHAT OKAY THREE SIX NINE FIVE FOUR SIX
/mnt/d/IMDA_TIL/audio_part3/3011-234.wav,YOU CAN GET ONE OF THEM TO PLAY
/mnt/d/IMDA_TIL/audio_part3/3011-2347.wav,ITS ABOUT ONE POINT SIX THEN
/mnt/d/IMDA_TIL/audio_part3/3011-2349.wav,NO AND AND THERES A LOT OT BASE SO YOU CAN BRING HOME ABOUT TWO K
/mnt/d/IMDA_TIL/audio_part3/3011-2355.wav,AND HE SHOULD REALLY START LOSING WEIGHT IS
/mnt/d/IMDA_TIL/audio_part3/3011-2366.wav,THEN WE HAVE TO GO AT A SPECIFIC DAY WHEN I CAN STEAL THE CAR WHEN NO ONE IS LOOKING
/mnt/d/IMDA_TIL/audio_part3/3011-2367.wav,OH YA I WANTED TO ASK YOU ABOUT THE PIG SO IS IT DONE FOR JIANYONG HES COMING BACK TOMORROW
/mnt/d/IMDA_TIL/audio_part3/3011-2374.wav,BECAUSE I DONT SEE GRADUATION AS AN IMPORTANT MILESTONE AND I BELIEVE THAT PEOPLE SHOULD NOT
