file_name,annotation
audio_part3/3000-160.wav,MALAYTIKAMMALAY MALAYTIKAMMALAY HOW DO YOU CHOOSE FOUR D OR TOTO NUMBERS
audio_part3/3000-161.wav,UM I MEAN I WAS IN THE POLICE FORCE LAH SO THEN OBVIOUSLY IS WHEN ATTENDING TO THOSE SUICIDAL CASES
audio_part3/3000-164.wav,WAS ACTUALLY WHEN I ATTENDED UM
audio_part3/3000-166.wav,BUT THERE WAS ONE CASE IN PARTICULAR
audio_part3/3000-167.wav,IT WAS A YOUNG CHILD PROBABLY SECONDARY TWO
audio_part3/3000-168.wav,SO ITS LIKE WHAT THIRTEEN FOURTEEN FOURTEEN YEAR OLD
audio_part3/3000-169.wav,NO NO NO SO I WENT I ATTENDED THE CASE
audio_part3/3000-170.wav,WHERE IT WAS A UNK YEAH WHERE IT WAS A SECONDARY TWO KID WHO
audio_part3/3000-18.wav,USE OUR LEGS OR WHATEVER TO TRY AND GET EACH OTHER OFF THEN THE THE LOSER OBVIOUSLY IS THE ONE THAT FALLS OFF FIRST
audio_part3/3000-192.wav,MOST BUSYBODY THING I HAVE EVER DONE
audio_part3/3000-2112.wav,THIS SELF MADE MILLIONAIRE THAT
audio_part3/3000-212.wav,YES SO BASICALLY FOR SEVENTH MONTH WE WILL BE LOOKING AT
audio_part3/3000-2124.wav,YES GET YOUR FINANCIALS DONE RIGHT
audio_part3/3000-2125.wav,BUY ONE GET ONE FREE WHATS THE BEST LOBANG YOUVE EVER RECEIVED OR SHARE THIS
audio_part3/3000-2127.wav,I FEEL LIKE IF THIS ISNT DONE RIGHT AT THE START RIGHT WHEN THEY ARE YOUNG
audio_part3/3000-2142.wav,WHO REALLY NEED THE MONEY RIGHT YEAH
audio_part3/3000-2144.wav,SHES A WONDERFUL LADY SHES IN HER SEVENTIES CONTRIBUTED TO SOCIETY SHES TO BE A TEACHER
audio_part3/3000-2154.wav,DEFINITELY I WISH SOMETHING CAN BE DONE LAH I MEAN WHAT I CAN DO AS A PERSON WITH
audio_part3/3000-2158.wav,SG HUNDRED DESCRIBE IN SINGAPORE DREAM
audio_part3/3000-2160.wav,S G HUNDRED MAN SO WE ARE TALKING ABOUT S G AT
audio_part3/3000-2161.wav,YEAR HUNDRED WHAT DO YOU SEE
audio_part3/3000-2207.wav,TO BE ABLE TO FULLFILL ONES NEEDS DESIRES AND GOALS THATS FULFILMENT TO ALWAYS
audio_part3/3000-2233.wav,ANYTHING ANYONE OF US
audio_part3/3000-2237.wav,UM MAY NONE HAPPY STATE OF MIND
audio_part3/3000-2243.wav,WAS SIX YEARS SO WHOS THE BETTER COOK YOUR MOM
audio_part3/3000-23.wav,HMM NO IVE GOTTEN RID OF IT LIKE
audio_part3/3000-230.wav,OKAY THATS A THREE MARKS OKAY LETS GO KALLANG WAVE SINGAPORE WILL WIN THE WORLD CUP IN
audio_part3/3000-232.wav,K ONE TIMES JIALAT JIALAT DESCRIBE YOUR MOST MEMORABLE AND NS OR RESERVICE EXPERIENCE
audio_part3/3000-234.wav,MEMORABLE IS VERY ONE TIMES JIALAT JIALAT LAH SO PPL
audio_part3/3000-237.wav,TWO IN THE MORNING STARTED CRAWLING AROUND CAUSE
audio_part3/3000-243.wav,PRECISELY SO DO YOU FREQUENT FREQUENT THERE OFTEN
audio_part3/3000-253.wav,SO WHATS THE MOST BUSYBODY THING YOUVE EVER DONE
audio_part3/3000-27.wav,AH THE ONE THAT IS SLIGHTLY SALTED RIGHT YES
audio_part3/3000-293.wav,IF THIS ACTUALLY THERES SO MUCH POTENTIAL FOR GROWTH
audio_part3/3000-296.wav,YA PRECISELY DONT DONT EVEN NEED TO BRING THEIR WALLETS OUT EVERYTHING IS DONE THROUGH MOBILE WHICH BRINGS UM
audio_part3/3000-298.wav,OKAY KING OF FRUITS WHATS THE MOST NUMBER OF DURIANS YOU HAVE EVER EATEN AT ONE GO DO YOU EVEN EAT DURIANS
audio_part3/3000-299.wav,I TRY TO EAT LESSER LAH DEFINITELY I WANT I WANT TO STAY IN SHAPE ONE
audio_part3/3011-1103.wav,THREE SIX NINE FIVE FOUR SIX I THINK IS VERY NEAR
audio_part3/3011-1104.wav,THREE SIX NINE FIVE FOUR SIX
audio_part3/3011-111.wav,MY HALL WHICH IS THE HALL OF RESIDENCE SIXTEEN
audio_part3/3011-1112.wav,CAN YOU PLEASE TELL ME OF LIKE A SAMPLE OF THE EMAIL THAT YOU HAVE WRITTEN
audio_part3/3011-1136.wav,YES THATS UM ONE OF MY DREAMS
audio_part3/3011-115.wav,WHEN I FIRST JOINED I MET SOMEONE CALLED JARED
audio_part3/3011-1155.wav,THEN SHE SAID OH AT MOST ONE HOUR THEN I AT AT AT
audio_part3/3011-1156.wav,THE SHORTEST TIME THAT I HAVE TO PREPARE WAS ONE HOUR THEN I SAID OH OKAY
audio_part3/3011-1164.wav,BUT I GUESS THATWAS THE TWO STUPID QUESTIONS I ASK
audio_part3/3011-1167.wav,SO IM JOBLESS NOW BECAUSE OF TWO STUPID QUESTIONS I ASK
audio_part3/3011-1170.wav,PPB THREE POINT SIX THOUSANDS
audio_part3/3011-1181.wav,YOURE GRAMMATICALLY INCOMPETENT
audio_part3/3011-1191.wav,THAT MEANS PPB SOMEONE PAYS YOU TO MAKE A BABY FOR THEM IN YOUR WOMB PPB
audio_part3/3011-1230.wav,WOW HE HAS TWO HUNDRED AND THIRTY TWO LIKES FOR HIS PHOTO
audio_part3/3011-1231.wav,ONE THOUSAND ONE HUNDRED AND THREE NO WAIT
audio_part3/3011-1232.wav,HAS EIGHT HUNDRED AND NINETY SIX FOLLOWERS
audio_part3/3011-1234.wav,TWENTY FIVE PERCENT OF PEOPLE LIKE HIS PHOTO
audio_part3/3011-1235.wav,OKAY LETS GO AND CHECK SOMEONE ELSES WHO HAS THAT MUCH FOLLOWING
audio_part3/3011-1236.wav,OKAY I AM GOING TO FIND AN EXAMPLE OF SOMEONE ELSE
audio_part3/3011-1238.wav,I HAVE FIVE HUNDRED AND TWENTY TWO FOLLOWERS AND I HAVE A SIXTEEN PPL LIKE
audio_part3/3011-1244.wav,OKAY THIS ONE THIS ONE THIS ONE IS MY SOLO SHOT
audio_part3/3011-1252.wav,OKAY WHAT ABOUT THE ONE WITH MY FACE RIGHT WHERE I USED A MAKEUP APP PPL
audio_part3/3011-1256.wav,I TOOK PHOTO OF YOU YOU ARE IN MY ONE ONE OF MY PHOTOS THERE
audio_part3/3011-1263.wav,EIGHTEEN I WAS EIGHTEEN BUT I DIDNT POST IT WHEN I WAS EIGHTEEN I POSTED IT
audio_part3/3011-1270.wav,I WAS OKAY SORT OF WHEN I WAS IN TWO THOUSAND AND NINE
audio_part3/3011-1278.wav,TEN THIRTY PM WHAT KIND OF CLASS IS THAT NO I BET THATS HER WORK
audio_part3/3011-1288.wav,NO SOMEONE ELSE SHOULD ASK FOR ME THEN IT PEOPLE WILL SHOW THAT PEOPLE SUPPORT ME PEO IT WILL SHOW THAT PEOPLE SUPPORT ME
audio_part3/3011-129.wav,SO I CAN COME AT SEVEN
audio_part3/3011-1292.wav,IHG IS A NERVOUS PERIOD FOR EVERYONE
audio_part3/3011-1293.wav,I AM I AM NOT I HAVE NOT WON THE CHAMPIONSHIPS BEFORE IN MY FOUR YEARS
audio_part3/3011-1297.wav,DO YOU KNOW WHAT I THINK THEY SHOULDNT PUT US TOGETHER THEY SHOULD LET ME AND YOU KNOW JUST NOW GOT ANOTHER TWO PEOPLE COME IN RIGHT
audio_part3/3011-1298.wav,THEY SHOULD MATCH THE TWO STRANGERS TOGETHER SO WE GOT MORE THINGS TO TALK ABOUT WELL BE VERY INTERESTED IN EACH OTHER WE LIKE
audio_part3/3011-1308.wav,OH THIS ONE NO BONE OH YOU WANT EAT THIS
audio_part3/3011-1309.wav,OHMYGOD THIS ONE LOOKS NICE CAN WE GO EAT HERE INSTEAD
audio_part3/3011-1310.wav,FIVE THREE THREE SIX EIGHT TWO TWO O THREE SIX EIGHT TWO TWO O
audio_part3/3011-1330.wav,THIS ONE ITS A UP AND COMING TOURIST DESTINATION IN THAILAND
audio_part3/3011-1344.wav,I THOUGHT IT WAS AN IMPORTANT MILESTONE THAT HE WOULD LIKE TO CELEBRATE WITH ME
audio_part3/3011-1345.wav,WHY YOU NEVER GO FOR GERALDS ONE PPB
audio_part3/3011-1354.wav,HOW MUST I UNK IT STARTS AT SEVEN PM
audio_part3/3011-1366.wav,EXCUSE ME HES VERY SMART OKAY HE GOT TWO SEVEN FIVE FOR PSLE
audio_part3/3011-1370.wav,OKAY NOW THERES TWO TANGLES PPB LOOK
audio_part3/3011-1387.wav,I REMEMBER I HEARD YOU RAP ONE TIME IT WAS VERY BAD
audio_part3/3011-1389.wav,THANK YOU VERY MUCH FOR YOUR KIND ATTENTION
audio_part3/3011-1391.wav,EXCUSE ME ITS ALL ABOUT THE MONEY PPB
audio_part3/3011-1411.wav,LOOK WE ARE TALKING SO MUCH NOW WE ARE TALKING FOR FIFTY NINE MINUTES AND NINE SECONDS
audio_part3/3011-1415.wav,CAN YOU PLEASE OBEY ME PLEASE PLEASE PLEASE LISTEN TO ME
audio_part3/3011-1425.wav,HE WANTS ME TO HAVE FIVE KIDS WITH HIM
audio_part3/3011-1426.wav,LOOK HE REALLY WANT ME TO HAVE FIVE KIDS
audio_part3/3011-1427.wav,AND HE WANTS TO HAVE FOUR GIRLS AND ONE BOY
audio_part3/3011-1437.wav,OKAY ITS ABOUT ITS A SERIES OF SHORT STORIES ABOUT MODERN LONELINESS
audio_part3/3011-1448.wav,HE BECAME VERY ALONE AND BUT HE STILL CONTINUE WITH HIS ACTING SO HE HIRED A GIRL
audio_part3/3011-1465.wav,BUT UH AND HE KNEW ONE OF THE
audio_part3/3011-1473.wav,THIS ONE OKAY THIS ONE I HAVENT FINISH READING YET
audio_part3/3011-1474.wav,BUT ANOTHER ONE THAT I READ WAS QUITE MEANINGFUL ITS ABOUT THIS
audio_part3/3011-1479.wav,CAN I TELL YOU ABOUT THIS NOT ITS A VERY SAD STORY CAN YOU LISTEN
audio_part3/3011-1499.wav,AND THE STORY ENDED THEM BEING SINGLE SO NONE OF THEM GOT MARRIED
audio_part3/3011-150.wav,NTU SINGAPORE SCRABBLE CHAMPIONSHIPS THAT IS GOING TO BE HELD ON THE TWENTY SECOND OF SEPTEMBER
audio_part3/3011-1513.wav,HOW DO YOU THINK ABOUT LOVE IF YOU LOVE SOMEONE YOU DONT WANT TO BE WITH THEM WHAT KIND OF RUBBISH IS THAT RIGHT ITS LIKE SAYING
audio_part3/3011-1518.wav,ITS NOT IF YOU LOVE SOMEONE YOU WANT TO SEE THEM EVERYDAY OKAY
audio_part3/3011-1531.wav,YEAH I DONT KNOW WHY HE WOULD DO THAT HE JUST WANTS ME TO BE ALONE
audio_part3/3011-154.wav,BUT ILL BE ALL ALONE I DONT HAVE A TEAM
audio_part3/3011-1548.wav,JOHNNY CHINESE FIVE PPB
audio_part3/3011-1551.wav,YOU HAVE LIVED WITH HIM FOR TWENTY
audio_part3/3011-1564.wav,THATS QUITE A LOT I CAN ONLY DO ONE POINT TWO KILOMETERS
audio_part3/3011-1588.wav,WOW THATS SO COOL SIX REC GAMES PEOPLE
audio_part3/3011-1590.wav,HE I DONT THINK HE IS YEAR FIVE YOU SEE AH WHEN I WAS YEAR ONE HE WAS THERE ALREADY RIGHT
audio_part3/3011-1597.wav,CBD WHY DO I WANT TO GO I FEEL VERY UNDER DRESSED THERE EVERYONE DRESS SO WELL
audio_part3/3011-16.wav,UH IS BOTH A PRIMARY SCHOOL AND A SECONDARY SCHOOL SO YOU CAN SPEND TEN YEARS OF YOUR LIFE THERE
audio_part3/3011-1605.wav,I GIVE YOU AH HALL SIXTEEN SHIRT YOU WANT
audio_part3/3011-1614.wav,GOT LIKE THIS TWO THOUSAND AND SIXTEEN POST WHERE LIKE PEOPLE ARE TAKING PHOTO WITH YOU IN A HOTEL IN SENTOSA THAT UNK
audio_part3/3011-1620.wav,NO I PPB THATS NOT WHAT I MEANT PPB I MEANT TO SAY THAT PPB UM PPO SO WHEN YOURE TWENTY ONE YOU CELEBRATE YOUR BIRTHDAY LIKE THAT
audio_part3/3011-1621.wav,I WAS TWENTY I WAS NINETEEN
audio_part3/3011-1623.wav,OKAY MAYBE LIKE IN THIRTY FIRST JANUARY
audio_part3/3011-1628.wav,YOU ARE GOING TO FIND ME A JOB RIGHT YOU SAID AND ILL GIVE YOU ONE PERCENT OF MY SALARY
audio_part3/3011-1636.wav,OH MY GOD EVERYONE IN RUSSIA IS RUSHING PPB
audio_part3/3011-1651.wav,ONE TIME YOU KNOW MY DREAM WAS VERY SCARY I WAS IN THE TOILET
audio_part3/3011-1656.wav,BUT MY INTONATION IS JUST LIKE THAT I LIKE TO SPEAK IN A SINGING TONE
audio_part3/3011-1664.wav,WHY YOU SO CHEAPSKATE JUST TEN DOLLARS YOU DONT LIVE WITHOUT THE SHIRT LAH
audio_part3/3011-1677.wav,YES I HAVE BEEN DONATING A LOT OF MY MONEY
audio_part3/3011-1680.wav,SHE HAD TWO MARRIAGES THE FIRST MARRIAGE SHE HAD THREE KIDS
audio_part3/3011-1681.wav,THEY WERE THEY ARE IN A ORPHANAGE THEN ANOTHER THREE KIDS SHE TAKE CARE OF THEM
audio_part3/3011-1685.wav,MONEY BUT SHES A BIT FRIVOLOUS SHE ONLY CARES ABOUT
audio_part3/3011-1692.wav,WHEN YOU SMOKE WHEN YOU GOT BABY GOT SOME PROBLEMS ONE LAH
audio_part3/3011-1696.wav,THATS TERRIBLE OHMYGOD WE HAVE TO REGULATE OUR YOU KNOW HOW IMPOSSIBLE IT IS TO TALK FOR TWO HOURS ITS VERY DIFFICULT OKAY
audio_part3/3011-1698.wav,TO FINISH OUR CONVERSATION THANK YOU THANK YOU FOR LISTENING
audio_part3/3011-177.wav,ITS VERY FAST YOU KNOW HOW MUCH WAS ONE PLATE OF NASILEMAK
audio_part3/3011-178.wav,NINE DOLLARS AND NINETY CENTS
audio_part3/3011-196.wav,OKAY YOU JUST WRITE TAISENG CAFE AND THEN I GOT ONE THIS ONE IS CALLED
audio_part3/3011-2102.wav,SO THEY WILL GIVE YOU LIKE A SITUATION ABOUT SOME LIKE BUSINESS STUFF SO THERE WAS ONE
audio_part3/3011-2108.wav,NO NOW ITS STILL IN THE PRACTICE STAGE BUT THERE WILL BE A GRADED TEST TWENTY PERCENT
audio_part3/3011-2114.wav,ITS USUALLY TO TARGETED AT A GROUP OF PEOPLE NOT JUST ONE PERSON
audio_part3/3011-2118.wav,TWO STYLES THERE IS A DIRECT STYLE AND A INDIRECT STYLE
audio_part3/3011-2122.wav,EH BUT THEN YOU NEVER SAY THAT TO SOMEONE WHEN YOU ARE FIRING THEM UNLESS YOU REALLY HATE THEM
audio_part3/3011-2128.wav,BUT WHEN ITS WRITTEN IN A NEUTRAL TONE
audio_part3/3011-2147.wav,IF YOU FELT YOUR INTERVIEW WENT WELL YOU SHOULD JUST ASK ONE OR TWO
audio_part3/3011-2149.wav,STOP SAYING YOURE STUPID ITS A PESSIMISTIC STATEMENT AND ITS NOT ALLOWED WITHIN THESE FOUR WALLS
audio_part3/3011-2150.wav,EIGHTY PERCENT OF THE THINGS YOU SAY IS PESSIMISTIC AND I AM GOING TO MAKE IT A POINT TO MAKE THAT
audio_part3/3011-2155.wav,PPO THREE POINT SIX THOUSAND A DAY A WEEK
audio_part3/3011-2168.wav,HOW HOW ABOUT YOU WORK FOR HALL OF RESIDENCE SIXTEEN
audio_part3/3011-218.wav,NO WE RARE WE DONT MEET TO EAT WE MEET AT NIGHT TO PLAY LIKE AT NIGHT AS IN LIKE TEN PLUS
audio_part3/3011-2182.wav,THE ONE WITH RACHELS OTHER SISTER
audio_part3/3011-2185.wav,AND GOAL TO MAKE EVERYONE WATCH THAT
audio_part3/3011-2189.wav,NO I SHOULD SEND IT ON THE GROUP AND MAKE EVERYONE WATCH IT PPL
audio_part3/3011-2199.wav,AND WHAT WHAT WHAT WAS THAT SENTENCE OF
audio_part3/3011-2206.wav,NO YOU CAN CALCULATE PERCENTAGE FOR ANYONE
audio_part3/3011-2208.wav,BUT MY LAST PHOTO WAS TWO YEARS AGO SO ITS NOT ACCURATE
audio_part3/3011-2211.wav,NINETY NINE I CAN GET MORE THAN THAT AND ILL ONLY HAVE LIKE MAYBE HAVE FIVE HUNDRED FOLLOWERS
audio_part3/3011-2214.wav,HELLO CAN YOU LIKE IT YOURSELF THEN YOU GET ONE MORE LIKE
audio_part3/3011-2219.wav,THIS IS TWENTY SIXTEEN HOW COME I AM NOT TAGGED IN THIS PHOTO YOURE SO MEAN
audio_part3/3011-2220.wav,BUT YOU GOT FORTY FIVE LIKES OUT OF NOTHING OKAY NOT BAD
audio_part3/3011-2223.wav,OKAY OTHER THAN THAT WHICH ONE IS THE DEAF ONE THIS ONE
audio_part3/3011-2224.wav,EH GAIA BLACK I KNOW WHO IS THAT OH THIS ONE THIS
audio_part3/3011-2225.wav,IS IT YEAH THIS ONE WILL HAVE THE MOST LIKES I TOLD YOU
audio_part3/3011-2230.wav,YA BUT SEE ONE TWO FOUR IT PROVED ITSELF
audio_part3/3011-2234.wav,NO BUT LAST TIME OKAY THIS ONE THIS ONE MIGHT HAVE SOME
audio_part3/3011-2240.wav,EH WHY YOU GET SEVENTY FOR THIS I THINK THEY THOUGHT YOU WERE A COUPLE
audio_part3/3011-2243.wav,SO PPL THEN JACK WAS IN ONE OF MY GROUP
audio_part3/3011-2251.wav,AND YOU GOT TWO AND ONE IS BY
audio_part3/3011-2257.wav,IS HE THE ONE WHO PUT YOU INTO CHURCH
audio_part3/3011-2258.wav,WHICH CHURCH IS THIS OH THE TAMPINES ONE
audio_part3/3011-2269.wav,IT ENDS AT TEN THIRTY AT ONE OF THE DAYS
audio_part3/3011-2274.wav,PPL BUT YEAH LAH THEY ARE THE MORE FREE ONE XINGYI ALSO VERY FREE
audio_part3/3011-2315.wav,YOU CAN TALK TO THEM FOR MAYBE TEN MINUTES AND THEN YOU KNOW ABOUT THAT ALL THE
audio_part3/3011-2329.wav,PPO THATS WHY I DONT LIKE TO USE THIS WHAT OKAY THREE SIX NINE FIVE FOUR SIX
audio_part3/3011-234.wav,YOU CAN GET ONE OF THEM TO PLAY
audio_part3/3011-2347.wav,ITS ABOUT ONE POINT SIX THEN
audio_part3/3011-2349.wav,NO AND AND THERES A LOT OT BASE SO YOU CAN BRING HOME ABOUT TWO K
audio_part3/3011-2355.wav,AND HE SHOULD REALLY START LOSING WEIGHT IS
audio_part3/3011-2366.wav,THEN WE HAVE TO GO AT A SPECIFIC DAY WHEN I CAN STEAL THE CAR WHEN NO ONE IS LOOKING
audio_part3/3011-2367.wav,OH YA I WANTED TO ASK YOU ABOUT THE PIG SO IS IT DONE FOR JIANYONG HES COMING BACK TOMORROW
audio_part3/3011-2374.wav,BECAUSE I DONT SEE GRADUATION AS AN IMPORTANT MILESTONE AND I BELIEVE THAT PEOPLE SHOULD NOT
audio_part3/3011-2375.wav,NO AS IN THEY SHOULDNT SEE IT AS A IMPORTANT MILESTONE CAUSE IS JUST
audio_part3/3011-2393.wav,CAUSE HE WENT FOR TWO EXCHANGES TO TO FREEZE HIS GPA
audio_part3/3011-2394.wav,LIKE SO MAYBE HE HE DID WELL IN YEAR ONE THEN HE JUST FREEZE IT
audio_part3/3011-2395.wav,SIX POINT NINE AS MY GPA
audio_part3/3011-2397.wav,OH BUT HUNDRED POINTS IS QUITE GOOD SIA I EVER GOT HUNDRED POINT
audio_part3/3011-240.wav,MEMORISE BY HEART FOR LIKE ONE DAY
audio_part3/3011-2401.wav,PPL THEY LIKE WHAT ARE THIS TWO WEIRDOS TALKING ABOUT THE WHOLE TIME
audio_part3/3011-2411.wav,WHAT ARE YOU DOING NOW YOU JUST SAID YOU ARE NOT SUPPOSED TO USE YOUR PHONE
audio_part3/3011-2417.wav,PPO EH WE ARE ALMOST DONE WHAT THE HELL
audio_part3/3011-2418.wav,OH NO HE SAID TWO HOURS FIFTEEN MINUTES AH PPO
audio_part3/3011-2430.wav,BUT SO YOU LISTEN TO THE WHAT IS IT CALLED PASTOR IS IT A PASTOR A PRIEST
audio_part3/3011-2439.wav,YOU CAN GO OUT WITH HIM ALONE I DONT HAVE TO BE THERE
audio_part3/3011-2442.wav,LIKE YOU YOU THINK WE REALLY HAVE TO TALK FOR ONE HOUR FIFTY MORE MINUTES NO WE MINUS TWENTY HOR
audio_part3/3011-2443.wav,THEN IT STOPPED REMEMBER SO SHE SAID OH YOU ARE ACCOUNTED FOR TWENTY THEN CARRY ON
audio_part3/3011-2444.wav,SO WE TALK FOR ONE HOUR TWENTY MINUTES ALREADY
audio_part3/3011-2445.wav,WHAT YOU WANT US TO RETALK TWENTY MINUTES YOU KNOW HOW PPB
audio_part3/3011-2473.wav,YEAH IM LISTENING IM MULTITASKING ITS SOMETHING THAT I LEARNED OVER THE YEARS
audio_part3/3011-2478.wav,PPL CAN YOU STOP TALKING ABOUT THAT RANDOM PERSON THAT NO ONE KNOWS ABOUT
audio_part3/3011-2483.wav,HE SO RICH MEH NO I THINK HE LIKE NEVER SETTLE SOMETHING CONFIRM ONE TYPICAL
audio_part3/3011-2491.wav,THATS TWO YEARS HUH SO YOU WANNA GET MARRIED IN TWO YEARS
audio_part3/3011-2492.wav,WHY DO I HAVE TO FIND SOMEONE
audio_part3/3011-2506.wav,OKAY LETS SEE WE HAVE TWENTY MORE MINUTES
audio_part3/3011-2509.wav,TWO YEARS YOUNGER OR SOME EVEN FOUR YEARS YOUNGER
audio_part3/3011-2515.wav,THEN GO AND INVITE HIM YOURSELF AND GO ALONE
audio_part3/3011-2525.wav,BUT I THINK YOU TALK TO HIM MORE THAN I HAVE IN THE TWENTY FOUR YEARS
audio_part3/3011-2529.wav,WHY HOW DID YOU GET TWENTY SEVEN
audio_part3/3011-2530.wav,DONE THERES NO SUCH WORD AS CANNOT
audio_part3/3011-2534.wav,I ALREADY SAID LETS WATCH JOHNNY ENGLISH THREE
audio_part3/3011-2537.wav,FUNNY EVERY TIME SOMEONE WALKS IN
audio_part3/3011-254.wav,YES BUT THERE IS ONLY ONE DRAGON THERE
audio_part3/3011-2544.wav,NOT A LOT ONLY THREE
audio_part3/3011-2545.wav,THATS LIKE THREE ROUNDS AROUND THE STADIUM
audio_part3/3011-2546.wav,ITS NOT ENOUGH LIKE EVERY TIME EVERYONE PPO WHEN OTHER PEOPLE SAY THEY GO FOR A RUN THEY RUN LIKE FOUR KM
audio_part3/3011-255.wav,I MEAN OKAY LAH ITS WALK IT MUST HAS WALK FOR FIFTEEN MINUTES
audio_part3/3011-2552.wav,YA YOU CAN FIND HIM A DIFFERENT DAY WHEN YOU ARE ALONE
audio_part3/3011-2576.wav,OH THEN SHE CAN COME TO SIXTEEN AND JOIN SCRABBLE PPO IS SHE A SCRABBLE PLAYER
audio_part3/3011-2577.wav,SHE BETTER BECOME LIKE A GRAND MASTER BY THE TIME SHE ENTERS UNI THEN SHE CAN COME TO HALL SIXTEEN AND BY THEN THERE IS NO MORE MARK
audio_part3/3011-2585.wav,WE JUST NEED TO GET THROUGH TECHNICALLY NINE AND EIGHT PLUS SEVENTEEN MINUTES
audio_part3/3011-2586.wav,BY RIGHT WE SUPPOSE TO GO ALREADY EH ONE FORTY ONE
audio_part3/3011-260.wav,SO EX I DONT HAVE MONEY
audio_part3/3011-2605.wav,IT IS BECAUSE THE PLATFORM ALLOWS TWENTY VARIANCE YOU CAN DIRECTLY TAKE THE PPO
audio_part3/3011-2607.wav,YA I WOULD HAVE BOUGHT TWO SHIRTS FROM HIM BUT SINCE HE REPLIED LATE I DONT HAVE A VOUCHER STUPID IDIOT
audio_part3/3011-2608.wav,NO THAT ONE IS SO RARE ITS USUALLY ONLY FIVE DOLLARS OFF
audio_part3/3011-2610.wav,YOU CANT SURVIVE MORE THAN FIVE MINUTES NOT SAYING HIS NAME IS IT
audio_part3/3011-2614.wav,TWENTY ONE WHAT YOU SAID CELEBRATE MY TWENTY FIRST
audio_part3/3011-2615.wav,AH CAUSE YOUR BIRTHDAY HAVENT COME IF NO YOU ARE TWENTY
audio_part3/3011-2617.wav,GET IT YOU WERE TWENTY AND I WAS TWENTY ALSO UNTIL I BECAME TWENTY ONE
audio_part3/3011-2618.wav,YEAH SO WE ARE THE SAME AGE FOR ELEVEN DAYS A YEAR
audio_part3/3011-2622.wav,TO HELP YOU BUY A PRESENT FOR SOMEONE ELSE WAS MY PRESENT TO YOU
audio_part3/3011-2639.wav,AND KNEES FROM INDONESIA
audio_part3/3011-264.wav,SO HE CHALLENGE ME ALL TEN REC GAME
audio_part3/3011-2649.wav,ITS LIKE I HAVE TO CALL THEM LIKE SEVEN DAYS IN A ROW OR SOMETHING
audio_part3/3011-2652.wav,CALL FOR CALL THEM FOR TWO MINUTES FOR SEVEN DAYS THATS VERY EASY
audio_part3/3011-2655.wav,NO HE LIKES EARNING MONEY PPL
audio_part3/3011-2663.wav,AND I SHOULDNT TELL EVERYONE THAT I DID THAT
audio_part3/3011-2665.wav,PLUS SEVENTEEN PPO WERE LEFT WITH TEN MINUTE
